Model,C-index,N Samples,N Events,Event Rate,Brier t=2.4,Brier t=4.8,Brier t=9.7
Cox,0.7226411518426841,1000,350,35.00%,0.10181888199636574,0.19214630896264648,0.225559923556895
DeepSurv,0.7169726799179881,1000,350,35.00%,0.10043865158458627,0.1873224450509564,0.21365166649557762
